name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.background.success.subtle,color; background; success; subtle; [default],--ds-background-success-subtle,#B3DF72,"Background colour for non-interactive elements communicating success (e.g. semantic badges, status pills, callout chips). Sits between subtler and bold in visual emphasis. Not for interactive surfaces — see color.background.success.bold or color.background.success.subtler for interactive states.",#B3DF72,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.bold,color; background; success; bold; [default],--ds-background-success-bold,#5B7F24,"A vibrant background option for communicating a favorable outcome, such as in checked toggles.",#5B7F24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.bold.hovered,color; background; success; bold; hovered,--ds-background-success-bold-hovered,#4C6B1F,Hovered state of color.background.success.bold,#4C6B1F,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.bold.pressed,color; background; success; bold; pressed,--ds-background-success-bold-pressed,#3F5224,Pressed state of color.background.success.bold,#3F5224,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery,color; background; discovery; [default]; [default],--ds-background-discovery,#F8EEFE,"Use for backgrounds communicating change or something new, such as in discovery section messages.",#F8EEFE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.hovered,color; background; discovery; [default]; hovered,--ds-background-discovery-hovered,#EED7FC,Hover state for color.background.discovery,#EED7FC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.pressed,color; background; discovery; [default]; pressed,--ds-background-discovery-pressed,#E3BDFA,Pressed state for color.background.discovery,#E3BDFA,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.subtler,color; background; discovery; subtler; [default],--ds-background-discovery-subtler,#EED7FC,Use for backgrounds of discovery lozenges and badges to ensure accessibility and desired visual appearance.,#EED7FC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.subtler.hovered,color; background; discovery; subtler; hovered,--ds-background-discovery-subtler-hovered,#E3BDFA,Hovered state of color.background.discovery.subtler,#E3BDFA,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.subtler.pressed,color; background; discovery; subtler; pressed,--ds-background-discovery-subtler-pressed,#D8A0F7,Pressed state of color.background.discovery.subtler,#D8A0F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.subtle,color; background; discovery; subtle; [default],--ds-background-discovery-subtle,#D8A0F7,"Background colour for non-interactive elements communicating discovery (e.g. semantic badges, status pills, callout chips). Sits between subtler and bold in visual emphasis. Not for interactive surfaces — see color.background.discovery.bold or color.background.discovery.subtler for interactive states.",#D8A0F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.bold,color; background; discovery; bold; [default],--ds-background-discovery-bold,#964AC0,"A vibrant background option communicating change or something new, such as in onboarding spotlights.",#964AC0,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.bold.hovered,color; background; discovery; bold; hovered,--ds-background-discovery-bold-hovered,#803FA5,Hovered state of color.background.discovery.bold,#803FA5,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.discovery.bold.pressed,color; background; discovery; bold; pressed,--ds-background-discovery-bold-pressed,#673286,Pressed state of color.background.discovery.bold,#673286,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information,color; background; information; [default]; [default],--ds-background-information,#E9F2FE,"Use for backgrounds communicating information or something in-progress, such as in information section messages.",#E9F2FE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.hovered,color; background; information; [default]; hovered,--ds-background-information-hovered,#CFE1FD,Hovered state of color.background.information,#CFE1FD,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.pressed,color; background; information; [default]; pressed,--ds-background-information-pressed,#ADCBFB,Pressed state of color.background.information,#ADCBFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.subtler,color; background; information; subtler; [default],--ds-background-information-subtler,#CFE1FD,Use for backgrounds of information lozenges and badges to ensure accessibility and desired visual appearance.,#CFE1FD,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.subtler.hovered,color; background; information; subtler; hovered,--ds-background-information-subtler-hovered,#ADCBFB,Hovered state of color.background.information.subtler,#ADCBFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.subtler.pressed,color; background; information; subtler; pressed,--ds-background-information-subtler-pressed,#8FB8F6,Pressed state of color.background.information.subtler,#8FB8F6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.information.subtle,color; background; information; subtle; [default],--ds-background-information-subtle,#8FB8F6,"Background colour for non-interactive elements communicating information (e.g. semantic badges, status pills, callout chips). Sits between subtler and bold in visual emphasis. Not for interactive surfaces — see color.background.information.bold or color.background.information.subtler for interactive states.",#8FB8F6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
